Date : 2023-10-11 16:46:33
Directory : /Users/tj.wetmore/Code/darta/monorepo
Total : 2669 files,  287201 codes, 78956 comments, 51433 blanks, all 417590 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/duration                                                                                                    |          2 |        132 |         18 |         34 |        184 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/inflector                                                                                                   |          3 |        292 |        434 |         79 |        805 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/json                                                                                                        |          2 |        136 |         52 |         27 |        215 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/locale                                                                                                      |          2 |        123 |         55 |         12 |        190 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/log_subscriber                                                                                              |          1 |         56 |         36 |         15 |        107 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/messages                                                                                                    |          3 |        130 |          3 |         30 |        163 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/multibyte                                                                                                   |          2 |        130 |         98 |         33 |        261 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/notifications                                                                                               |          2 |        309 |         39 |         68 |        416 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/number_helper                                                                                               |          9 |        431 |         49 |         96 |        576 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/testing                                                                                                     |         15 |        685 |        320 |        176 |      1,181 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/testing (Files)                                                                                             |         13 |        546 |        315 |        140 |      1,001 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/testing/parallelization                                                                                     |          2 |        139 |          5 |         36 |        180 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/values                                                                                                      |          1 |        370 |        161 |         52 |        583 |
| vendor/bundle/ruby/2.7.0/gems/activesupport-6.1.7.2/lib/active_support/xml_mini                                                                                                    |          6 |        433 |        123 |        101 |        657 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1                                                                                                                                    |         22 |     10,219 |      1,649 |      1,891 |     13,759 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1 (Files)                                                                                                                            |          2 |        313 |          0 |        110 |        423 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/lib                                                                                                                                |          7 |      2,550 |      1,480 |        365 |      4,395 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/lib (Files)                                                                                                                        |          1 |          2 |          1 |          2 |          5 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/lib/addressable                                                                                                                    |          6 |      2,548 |      1,479 |        363 |      4,390 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/lib/addressable (Files)                                                                                                            |          4 |      2,009 |      1,378 |        264 |      3,651 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/lib/addressable/idna                                                                                                               |          2 |        539 |        101 |         99 |        739 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/spec                                                                                                                               |          6 |      7,122 |        161 |      1,357 |      8,640 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/spec (Files)                                                                                                                       |          1 |         27 |          1 |          6 |         34 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/spec/addressable                                                                                                                   |          5 |      7,095 |        160 |      1,351 |      8,606 |
| vendor/bundle/ruby/2.7.0/gems/addressable-2.8.1/tasks                                                                                                                              |          7 |        234 |          8 |         59 |        301 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5                                                                                                                                 |         20 |     10,868 |      1,205 |        863 |     12,936 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5 (Files)                                                                                                                         |          5 |      7,901 |          1 |        237 |      8,139 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5/lib                                                                                                                             |         10 |      1,565 |      1,181 |        380 |      3,126 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5/lib (Files)                                                                                                                     |          1 |         17 |          7 |          3 |         27 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5/lib/algolia                                                                                                                     |          9 |      1,548 |      1,174 |        377 |      3,099 |
| vendor/bundle/ruby/2.7.0/gems/algoliasearch-1.27.5/spec                                                                                                                            |          5 |      1,402 |         23 |        246 |      1,671 |
| vendor/bundle/ruby/2.7.0/gems/atomos-0.1.3                                                                                                                                         |          8 |        151 |         23 |         67 |        241 |
| vendor/bundle/ruby/2.7.0/gems/atomos-0.1.3 (Files)                                                                                                                                 |          6 |        117 |         17 |         53 |        187 |
| vendor/bundle/ruby/2.7.0/gems/atomos-0.1.3/lib                                                                                                                                     |          2 |         34 |          6 |         14 |         54 |
| vendor/bundle/ruby/2.7.0/gems/atomos-0.1.3/lib (Files)                                                                                                                             |          1 |         31 |          5 |         12 |         48 |
| vendor/bundle/ruby/2.7.0/gems/atomos-0.1.3/lib/atomos                                                                                                                              |          1 |          3 |          1 |          2 |          6 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0                                                                                                                                         |         21 |      1,316 |      1,025 |        368 |      2,709 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0 (Files)                                                                                                                                 |          6 |        380 |         59 |        175 |        614 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/.github                                                                                                                                 |          1 |         35 |          0 |         11 |         46 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/.github/workflows                                                                                                                       |          1 |         35 |          0 |         11 |         46 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib                                                                                                                                     |         14 |        901 |        966 |        182 |      2,049 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib (Files)                                                                                                                             |          1 |          8 |          4 |          2 |         14 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib/claide                                                                                                                              |         13 |        893 |        962 |        180 |      2,035 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib/claide (Files)                                                                                                                      |          7 |        495 |        677 |        107 |      1,279 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib/claide/ansi                                                                                                                         |          3 |         99 |        104 |         20 |        223 |
| vendor/bundle/ruby/2.7.0/gems/claide-1.1.0/lib/claide/command                                                                                                                      |          3 |        299 |        181 |         53 |        533 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3                                                                                                                                     |        153 |     20,547 |      8,181 |      5,222 |     33,950 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3 (Files)                                                                                                                             |          2 |      5,706 |          0 |      2,049 |      7,755 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib                                                                                                                                 |        151 |     14,841 |      8,181 |      3,173 |     26,195 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib (Files)                                                                                                                         |          1 |         59 |         10 |         10 |         79 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods                                                                                                                       |        150 |     14,782 |      8,171 |      3,163 |     26,116 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods (Files)                                                                                                               |         21 |      3,246 |      2,227 |        762 |      6,235 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command                                                                                                               |         36 |      2,067 |        346 |        405 |      2,818 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command (Files)                                                                                                       |         12 |        579 |         67 |        129 |        775 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/cache                                                                                                         |          2 |        121 |         20 |         20 |        161 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/ipc                                                                                                           |          6 |        185 |          0 |         26 |        211 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/lib                                                                                                           |          2 |        195 |         27 |         29 |        251 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/options                                                                                                       |          2 |         60 |          4 |          8 |         72 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/repo                                                                                                          |          7 |        513 |        121 |         91 |        725 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/command/spec                                                                                                          |          5 |        414 |        107 |        102 |        623 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/downloader                                                                                                            |          3 |        193 |        196 |         38 |        427 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/external_sources                                                                                                      |          4 |        194 |        116 |         38 |        348 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator                                                                                                             |         18 |      1,199 |        546 |        230 |      1,975 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator (Files)                                                                                                     |         16 |      1,095 |        532 |        208 |      1,835 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/generator/acknowledgements                                                                                            |          2 |        104 |         14 |         22 |        140 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer                                                                                                             |         52 |      5,226 |      3,151 |      1,030 |      9,407 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer (Files)                                                                                                     |         16 |      1,390 |        935 |        281 |      2,606 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/analyzer                                                                                                    |          9 |        597 |        473 |        138 |      1,208 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/project_cache                                                                                               |          8 |        417 |        235 |         89 |        741 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator                                                                                     |          2 |        526 |        379 |         91 |        996 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator (Files)                                                                             |          1 |        439 |        301 |         76 |        816 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/user_project_integrator/target_integrator                                                                   |          1 |         87 |         78 |         15 |        180 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode                                                                                                       |         17 |      2,296 |      1,129 |        431 |      3,856 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode (Files)                                                                                               |          5 |        419 |        141 |         80 |        640 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/installer/xcode/pods_project_generator                                                                                |         12 |      1,877 |        988 |        351 |      3,216 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/resolver                                                                                                              |          2 |         97 |         13 |         21 |        131 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/sandbox                                                                                                               |          5 |        518 |        398 |        120 |      1,036 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/target                                                                                                                |          3 |      1,659 |      1,036 |        419 |      3,114 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/user_interface                                                                                                        |          2 |        189 |         66 |         53 |        308 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/xcode                                                                                                                 |          4 |        194 |         76 |         47 |        317 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/xcode (Files)                                                                                                         |          3 |        102 |         46 |         30 |        178 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-1.11.3/lib/cocoapods/xcode/xcframework                                                                                                     |          1 |         92 |         30 |         17 |        139 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3                                                                                                                                |         43 |      5,523 |      6,292 |      1,448 |     13,263 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3 (Files)                                                                                                                        |          1 |         29 |          0 |         14 |         43 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib                                                                                                                            |         42 |      5,494 |      6,292 |      1,434 |     13,220 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib (Files)                                                                                                                    |          1 |         26 |          8 |          7 |         41 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core                                                                                                             |         41 |      5,468 |      6,284 |      1,427 |     13,179 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core (Files)                                                                                                     |         19 |      2,257 |      1,919 |        567 |      4,743 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/podfile                                                                                                     |          2 |        710 |      1,308 |        162 |      2,180 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/source                                                                                                      |          5 |        599 |        430 |        123 |      1,152 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/specification                                                                                               |         13 |      1,616 |      2,368 |        453 |      4,437 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/specification (Files)                                                                                       |          6 |      1,142 |      2,021 |        336 |      3,499 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/specification/dsl                                                                                           |          4 |        173 |        168 |         45 |        386 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/specification/linter                                                                                        |          2 |        211 |         96 |         41 |        348 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/specification/set                                                                                           |          1 |         90 |         83 |         31 |        204 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-core-1.11.3/lib/cocoapods-core/vendor                                                                                                      |          2 |        286 |        259 |        122 |        667 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5                                                                                                                          |          6 |        211 |         11 |         50 |        272 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5 (Files)                                                                                                                  |          1 |         42 |          0 |         14 |         56 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib                                                                                                                      |          5 |        169 |         11 |         36 |        216 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib (Files)                                                                                                              |          2 |          6 |          0 |          2 |          8 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib/cocoapods                                                                                                            |          3 |        163 |         11 |         34 |        208 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib/cocoapods (Files)                                                                                                    |          1 |        120 |          6 |         24 |        150 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib/cocoapods/command                                                                                                    |          1 |         40 |          5 |          9 |         54 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-deintegrate-1.0.5/lib/cocoapods/deintegrate                                                                                                |          1 |          3 |          0 |          1 |          4 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-downloader-1.6.3                                                                                                                           |         13 |        677 |        241 |        175 |      1,093 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-downloader-1.6.3 (Files)                                                                                                                   |          1 |         57 |          0 |         25 |         82 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-downloader-1.6.3/lib                                                                                                                       |         12 |        620 |        241 |        150 |      1,011 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-downloader-1.6.3/lib (Files)                                                                                                               |          1 |         62 |         24 |         17 |        103 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-downloader-1.6.3/lib/cocoapods-downloader                                                                                                  |         11 |        558 |        217 |        133 |        908 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0                                                                                                                              |         32 |      1,481 |        295 |        321 |      2,097 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0 (Files)                                                                                                                      |          7 |        437 |         31 |         97 |        565 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib                                                                                                                          |         11 |        463 |        207 |        100 |        770 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib (Files)                                                                                                                  |          2 |          4 |          2 |          2 |          8 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib/pod                                                                                                                      |          9 |        459 |        205 |         98 |        762 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib/pod/command                                                                                                              |          9 |        459 |        205 |         98 |        762 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib/pod/command (Files)                                                                                                      |          4 |        186 |        150 |         42 |        378 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/lib/pod/command/plugins                                                                                                      |          5 |        273 |         55 |         56 |        384 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec                                                                                                                         |         14 |        581 |         57 |        124 |        762 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec (Files)                                                                                                                 |          1 |         75 |         24 |         24 |        123 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec/command                                                                                                                 |          9 |        458 |         30 |         96 |        584 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec/command (Files)                                                                                                         |          4 |        103 |          8 |         23 |        134 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec/command/plugins                                                                                                         |          5 |        355 |         22 |         73 |        450 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-plugins-1.0.0/spec/fixtures                                                                                                                |          4 |         48 |          3 |          4 |         55 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1                                                                                                                               |         23 |        728 |         31 |        192 |        951 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1 (Files)                                                                                                                       |          3 |        144 |          1 |         64 |        209 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/.github                                                                                                                       |          1 |         34 |          0 |          8 |         42 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/.github/workflows                                                                                                             |          1 |         34 |          0 |          8 |         42 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/lib                                                                                                                           |          5 |        105 |          2 |         19 |        126 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/lib (Files)                                                                                                                   |          2 |          2 |          0 |          2 |          4 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/lib/cocoapods-search                                                                                                          |          3 |        103 |          2 |         17 |        122 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/lib/cocoapods-search (Files)                                                                                                  |          2 |          4 |          0 |          2 |          6 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/lib/cocoapods-search/command                                                                                                  |          1 |         99 |          2 |         15 |        116 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec                                                                                                                          |         14 |        445 |         28 |        101 |        574 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec (Files)                                                                                                                  |          1 |         67 |          2 |         17 |         86 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/command                                                                                                                  |          1 |        120 |          0 |         29 |        149 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures                                                                                                                 |          7 |         98 |          0 |         15 |        113 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos                                                                                                      |          7 |         98 |          0 |         15 |        113 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo                                                                                            |          7 |         98 |          0 |         15 |        113 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/BananaLib                                                                                  |          1 |         20 |          0 |          2 |         22 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/BananaLib/1.0                                                                              |          1 |         20 |          0 |          2 |         22 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/JSONKit                                                                                    |          2 |         21 |          0 |          4 |         25 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/JSONKit/1.4                                                                                |          1 |         10 |          0 |          2 |         12 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/JSONKit/999.999.999                                                                        |          1 |         11 |          0 |          2 |         13 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/OrangeFramework                                                                            |          1 |         13 |          0 |          4 |         17 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/OrangeFramework/0.1.0                                                                      |          1 |         13 |          0 |          4 |         17 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/Pod+With+Plus+Signs                                                                        |          1 |         16 |          0 |          2 |         18 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/Pod+With+Plus+Signs/1.0                                                                    |          1 |         16 |          0 |          2 |         18 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/Realm                                                                                      |          1 |         17 |          0 |          2 |         19 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/Realm/0.94                                                                                 |          1 |         17 |          0 |          2 |         19 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/monkey                                                                                     |          1 |         11 |          0 |          1 |         12 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/fixtures/spec-repos/test_repo/monkey/1.0.2                                                                               |          1 |         11 |          0 |          1 |         12 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-search-1.0.1/spec/spec_helper                                                                                                              |          5 |        160 |         26 |         40 |        226 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0                                                                                                                                |         29 |      1,693 |         97 |        439 |      2,229 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0 (Files)                                                                                                                        |          6 |        348 |         47 |        194 |        589 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/.github                                                                                                                        |          1 |         55 |          0 |         10 |         65 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/.github/workflows                                                                                                              |          1 |         55 |          0 |         10 |         65 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib                                                                                                                            |         11 |        639 |         30 |        104 |        773 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib (Files)                                                                                                                    |          2 |          4 |          0 |          2 |          6 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib/pod                                                                                                                        |          9 |        635 |         30 |        102 |        767 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib/pod/command                                                                                                                |          9 |        635 |         30 |        102 |        767 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib/pod/command (Files)                                                                                                        |          1 |        121 |          4 |         22 |        147 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/lib/pod/command/trunk                                                                                                          |          8 |        514 |         26 |         80 |        620 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec                                                                                                                           |         11 |        651 |         20 |        131 |        802 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec (Files)                                                                                                                   |          1 |         65 |         13 |         20 |         98 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec/command                                                                                                                   |          9 |        563 |          7 |        108 |        678 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec/command (Files)                                                                                                           |          1 |         19 |          0 |          5 |         24 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec/command/trunk                                                                                                             |          8 |        544 |          7 |        103 |        654 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-trunk-1.6.0/spec/fixtures                                                                                                                  |          1 |         23 |          0 |          3 |         26 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0                                                                                                                                  |         14 |        798 |        177 |        241 |      1,216 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0 (Files)                                                                                                                          |          7 |        267 |         68 |        137 |        472 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/lib                                                                                                                              |          4 |        200 |         97 |         45 |        342 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/lib (Files)                                                                                                                      |          2 |          4 |          2 |          2 |          8 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/lib/pod                                                                                                                          |          2 |        196 |         95 |         43 |        334 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/lib/pod (Files)                                                                                                                  |          1 |         34 |         11 |          9 |         54 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/lib/pod/command                                                                                                                  |          1 |        162 |         84 |         34 |        280 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/spec                                                                                                                             |          3 |        331 |         12 |         59 |        402 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/spec (Files)                                                                                                                     |          1 |         30 |          8 |         12 |         50 |
| vendor/bundle/ruby/2.7.0/gems/cocoapods-try-1.2.0/spec/command                                                                                                                     |          2 |        301 |          4 |         47 |        352 |
| vendor/bundle/ruby/2.7.0/gems/colored2-3.1.2                                                                                                                                       |         13 |        399 |          2 |        109 |        510 |
| vendor/bundle/ruby/2.7.0/gems/colored2-3.1.2 (Files)                                                                                                                               |          1 |         56 |          0 |         35 |         91 |
| vendor/bundle/ruby/2.7.0/gems/colored2-3.1.2/lib                                                                                                                                   |          7 |        216 |          2 |         41 |        259 |
| vendor/bundle/ruby/2.7.0/gems/colored2-3.1.2/lib (Files)                                                                                                                           |          1 |         72 |          0 |         14 |         86 |
